p_id_retained,nn_1,nn_2,nn_3,nn_4,nn_5,dist_1,dist_2,dist_3,dist_4,dist_5
0,65,15,43,28,34,0.15946867898597342,0.1627725697869935,0.1660380024380723,0.17095597021716646,0.1853945234846004
1,61,5,22,18,3,0.10288647718699948,0.12659540588853097,0.15386395452528615,0.16477706747931722,0.1663527578142527
2,49,1,22,60,73,0.14778359997972124,0.20086018424037075,0.2053139266485751,0.21792419963604825,0.24272565622746134
3,7,5,43,62,9,0.0718230558216912,0.13470507027013318,0.14348937389276642,0.15294641381116772,0.15626237168294868
4,19,17,42,78,46,0.20613023091362914,0.21349320845645578,0.22894123911654088,0.2540698714380612,0.25729978776282375
5,18,26,1,61,3,0.11466545441551848,0.12628682825151516,0.12659540588853097,0.13260277647646604,0.13470507027013318
6,80,68,52,54,72,0.038755856209145276,0.05383417202728401,0.0592155680308792,0.07117453902048383,0.1759795218642647
7,3,9,10,5,61,0.0718230558216912,0.1486198118189178,0.14985322203250218,0.15354294081838157,0.16273604829501143
8,30,51,71,69,50,0.08342534401961152,0.09672157120976102,0.13617016468743315,0.15206961130459062,0.19221280356853848
9,61,7,31,3,5,0.10206724773321911,0.1486198118189178,0.15354741777841943,0.15626237168294868,0.16360322242202696
10,73,5,7,66,22,0.10964461890243547,0.14811053120895548,0.14985322203250218,0.15482743304149005,0.15526952054830997
11,13,57,12,28,67,0.06921835440766529,0.10686655817339319,0.16217194854583317,0.16436730101734998,0.1800854627087513
12,57,74,11,13,28,0.10423536886761216,0.15602847424487715,0.16217194854583317,0.19285629582117522,0.25699407835306365
13,11,28,57,62,24,0.06921835440766529,0.10951163590973075,0.14019451329889807,0.1654208461933142,0.18982832013807857
14,15,0,39,25,43,0.16578070980048576,0.2086955435948685,0.22022246482512856,0.2278847402426452,0.24220682628609888
15,39,43,33,0,14,0.11421743146190412,0.1442350093644557,0.16245967058293734,0.1627725697869935,0.16578070980048576
16,72,68,29,6,38,0.1867882169655842,0.1972102170944566,0.2122794121216119,0.21790161563196764,0.22760730419151634
17,67,24,61,1,78,0.12625140190433454,0.147593527665664,0.17222809295302052,0.1747448737627942,0.18379666753770096
18,5,26,61,1,35,0.11466545441551848,0.14473219740167204,0.14696331823732453,0.16477706747931722,0.18175357880045756
19,46,61,17,9,4,0.10932504878788565,0.15711248514327475,0.18578903975153957,0.1963299255160949,0.20613023091362914
20,39,70,33,15,60,0.1992330667529367,0.2407636150554417,0.27491420240824066,0.2887280712238138,0.30355762661767405
21,27,34,40,31,65,0.13595783359799993,0.24897850546211703,0.26195620421252286,0.27916136141887665,0.28004176473474746
