p_id_retained,nn_1,nn_2,nn_3,nn_4,nn_5,player,team
0,65,15,43,28,34,A. Pasaol,UE
1,61,5,22,18,3,A. Melecio,DLSU
2,49,1,22,60,73,R. Subido,UST
3,7,5,43,62,9,D. Ildefonso,NU
4,19,17,42,78,46,J. Ahanmisi,ADU
5,18,26,1,61,3,Ju. Gomez de Liaño,UP
6,80,68,52,54,72,B. Akhuetie,UP
7,3,9,10,5,61,P. Desiderio,UP
8,30,51,71,69,50,M. Lee,UST
9,61,7,31,3,5,S. Manganti,ADU
10,73,5,7,66,22,J. Clemente,NU
11,13,57,12,28,67,J. Baltazar,DLSU
12,57,74,11,13,28,P. Sarr,ADU
13,11,28,57,62,24,L. Santillian,DLSU
14,15,0,39,25,43,T. Ravena,ADMU
15,39,43,33,0,14,P. Manalang,UE
16,72,68,29,6,38,A. Kouame,ADMU
17,67,24,61,1,78,A. Caracut,DLSU
18,5,26,61,1,35,H. Cani,FEU
19,46,61,17,9,4,W. Comboy,FEU
20,39,70,33,15,60,A. Tolentino,FEU
21,27,34,40,31,65,C. Cansino,UST
22,66,1,5,10,18,J. Varilla,UE
23,45,53,64,59,76,Z. Huang,UST
24,67,17,62,26,74,R. Verano,ADMU
25,28,14,0,65,16,J. Manzo,UP
26,5,18,75,43,24,J. Parker,FEU
27,21,65,34,0,40,Ja. Gomez de Liaño,UP
28,13,62,43,11,0,R. Escoto,FEU
29,38,65,72,16,48,S. Ildefonso,NU
30,51,8,66,71,73,A. Asistio,ADMU
31,9,34,58,7,3,F. Serrano,DLSU
32,41,63,81,36,75,T. Rike,NU
33,39,15,3,7,43,J. Lastimosa,ADU
34,40,3,0,31,5,C. Conner,UE
35,18,26,75,5,32,J. Espeleta,ADU
36,63,41,81,32,12,I. Gaye,NU
37,60,49,56,2,70,K. Zamora,UST
38,72,29,68,48,16,S. Camacho,ADU
39,15,33,43,20,14,I. Go,ADMU
40,79,34,7,10,3,M. Nieto,ADMU
41,81,63,36,48,32,W. Bartolome,UE
42,4,20,2,17,1,T. Tio,ADMU
43,62,3,15,28,0,W. Navarro,ADMU
44,67,17,24,4,78,J. Gallego,NU
45,76,23,53,59,64,K. Montalbo,DLSU
46,19,61,9,7,2,A. Inigo,FEU
47,50,71,8,77,69,K. Tuffin,FEU
48,81,41,38,29,63,G. Mahinay,UST
49,2,60,73,66,22,J. Mendoza,ADMU
50,8,30,51,69,47,D. Yu,NU
51,30,8,66,73,71,B. Bienes,FEU
52,54,80,6,68,72,B. Ebona,FEU
53,59,64,45,23,76,A. Joson,NU
54,52,80,6,68,72,P. Orizu,FEU
55,75,43,26,32,39,S. Belangel,ADMU
56,70,37,60,20,42,J. Pingoy,ADU
57,12,11,13,74,28,M. Dyke,DLSU
58,31,57,74,21,12,A. Stockton,FEU
59,53,64,45,78,23,J. Marcos,UST
60,37,49,2,39,33,A. Wong,ADMU
61,9,1,5,18,19,J. Manuel,DLSU
62,28,43,3,13,24,J. Cullar,UE
63,41,81,36,32,48,E. Caunan,UST
64,59,53,11,78,57,C. Catapusan,ADU
65,29,0,28,27,34,A. Diputado,NU
66,22,30,10,51,73,M. Maloles,UE
67,24,17,11,78,74,L. Gonzales,FEU
68,6,80,52,54,72,V. Magbuhos,ADU
69,71,8,30,51,50,J. Go,DLSU
70,56,20,37,60,39,J. Nieto,ADMU
71,69,8,30,51,50,E. Mojica,ADU
72,38,68,29,6,16,D. Murrell,UP
73,10,79,51,7,40,D. Dario,UP
74,12,24,67,11,57,J. Sinclair,NU
75,55,26,43,5,32,M. Aquino,NU
76,45,53,23,59,19,G. Mamuyac,ADMU
77,47,21,40,34,31,F. Jaboneta,UP
78,17,67,11,64,62,I. Batalier,UST
79,40,7,73,10,3,C. Vito,UP
80,52,6,54,68,72,S. Akomo,UST
81,41,63,36,48,32,R. Acuno,UE
