p_id_retained,nn_1,nn_2,nn_3,nn_4,nn_5
0,65,15,43,28,34
1,61,5,22,18,3
2,49,1,22,60,73
3,7,5,43,62,9
4,19,17,42,78,46
5,18,26,1,61,3
6,80,68,52,54,72
7,3,9,10,5,61
8,30,51,71,69,50
9,61,7,31,3,5
10,73,5,7,66,22
11,13,57,12,28,67
12,57,74,11,13,28
13,11,28,57,62,24
14,15,0,39,25,43
15,39,43,33,0,14
16,72,68,29,6,38
17,67,24,61,1,78
18,5,26,61,1,35
19,46,61,17,9,4
20,39,70,33,15,60
21,27,34,40,31,65
22,66,1,5,10,18
23,45,53,64,59,76
24,67,17,62,26,74
25,28,14,0,65,16
26,5,18,75,43,24
27,21,65,34,0,40
28,13,62,43,11,0
29,38,65,72,16,48
30,51,8,66,71,73
31,9,34,58,7,3
32,41,63,81,36,75
33,39,15,3,7,43
34,40,3,0,31,5
35,18,26,75,5,32
36,63,41,81,32,12
37,60,49,56,2,70
38,72,29,68,48,16
39,15,33,43,20,14
40,79,34,7,10,3
41,81,63,36,48,32
42,4,20,2,17,1
43,62,3,15,28,0
44,67,17,24,4,78
45,76,23,53,59,64
46,19,61,9,7,2
47,50,71,8,77,69
48,81,41,38,29,63
49,2,60,73,66,22
50,8,30,51,69,47
51,30,8,66,73,71
52,54,80,6,68,72
53,59,64,45,23,76
54,52,80,6,68,72
55,75,43,26,32,39
56,70,37,60,20,42
57,12,11,13,74,28
58,31,57,74,21,12
59,53,64,45,78,23
60,37,49,2,39,33
61,9,1,5,18,19
62,28,43,3,13,24
63,41,81,36,32,48
64,59,53,11,78,57
65,29,0,28,27,34
66,22,30,10,51,73
67,24,17,11,78,74
68,6,80,52,54,72
69,71,8,30,51,50
70,56,20,37,60,39
71,69,8,30,51,50
72,38,68,29,6,16
73,10,79,51,7,40
74,12,24,67,11,57
75,55,26,43,5,32
76,45,53,23,59,19
77,47,21,40,34,31
78,17,67,11,64,62
79,40,7,73,10,3
80,52,6,54,68,72
81,41,63,36,48,32
